100,93,26
59,12,31
88,16,5
76,5,11
5,45,6
14,20,100
49,37,38
14,94,51
88,49,85
17,94,90
59,51,91
16,98,11
39,37,53
28,73,55
16,30,78
64,75,48
88,96,51
26,92,68
77,74,54
33,44,93
97,11,15
20,8,32
47,63,16
98,79,39
55,77,47
47,69,52
33,27,8
88,95,12
72,57,90
99,9,95
55,54,41
58,58,50
45,83,51
70,36,53
53,70,11
5,100,3
31,86,29
36,32,10
70,30,63
35,51,89
67,43,28
76,100,98
6,88,20
42,56,87
31,71,13
4,62,41
65,5,87
19,13,17
28,4,28
29,91,49
98,68,19
24,19,61
70,80,83
42,54,87
88,93,83
26,97,90
55,74,73
92,28,82
39,13,79
51,40,21
93,24,5
19,55,9
2,30,28
64,42,98
4,20,89
67,81,54
48,74,31
56,76,36
57,39,30
67,83,44
4,21,21
49,47,94
5,26,56
85,8,8
63,15,83
68,66,31
58,38,36
42,38,44
34,3,14
82,86,68
80,7,81
60,9,87
94,8,54
67,38,71
65,91,16
26,45,6
26,16,75
74,34,23
76,77,36
44,63,34
86,14,14
91,25,81
7,2,66
24,99,19
87,24,39
64,36,35
7,13,10
29,94,6
52,47,4
17,58,64
